title,year,url,n_words,n_equity,n_justice,n_equality
Rerum Novarum,1891,https://www.vatican.va/content/leo-xiii/en/encyclicals/documents/hf_l-xiii_enc_15051891_rerum-novarum.html,14514,1,17,2
Quadragesimo Anno,1931,https://www.vatican.va/content/pius-xi/en/encyclicals/documents/hf_p-xi_enc_19310515_quadragesimo-anno.html,20152,4,37,1
Mater et Magistra,1961,https://www.vatican.va/content/john-xxiii/en/encyclicals/documents/hf_j-xxiii_enc_15051961_mater.html,21276,10,41,1
Pacem in Terris,1963,https://www.vatican.va/content/john-xxiii/en/encyclicals/documents/hf_j-xxiii_enc_11041963_pacem.html,16022,1,32,4
Gaudium et Spes,1965,https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_const_19651207_gaudium-et-spes_en.html,36835,7,28,1
Populorum Progressio,1967,https://www.vatican.va/content/paul-vi/en/encyclicals/documents/hf_p-vi_enc_26031967_populorum.html,12869,1,13,4
Laborem Exercens,1981,https://www.vatican.va/content/john-paul-ii/en/encyclicals/documents/hf_jp-ii_enc_14091981_laborem-exercens.html,22596,0,17,0
Sollicitudo Rei Socialis,1987,https://www.vatican.va/content/john-paul-ii/en/encyclicals/documents/hf_jp-ii_enc_30121987_sollicitudo-rei-socialis.html,23334,0,15,10
Centesimus Annus,1991,https://www.vatican.va/content/john-paul-ii/en/encyclicals/documents/hf_jp-ii_enc_01051991_centesimus-annus.html,27982,0,25,1
Caritas in Veritate,2009,https://www.vatican.va/content/benedict-xvi/en/encyclicals/documents/hf_ben-xvi_enc_20090629_caritas-in-veritate.html,31374,0,50,1
Laudato Si,2015,https://www.vatican.va/content/francesco/en/encyclicals/documents/papa-francesco_20150524_enciclica-laudato-si.html,41055,0,24,0
Laudate Deum,2023,https://www.vatican.va/content/francesco/en/apost_exhortations/documents/20231004-laudate-deum.html,7730,0,1,1
Evangelii Gaudium,2013,https://www.vatican.va/content/francesco/en/apost_exhortations/documents/papa-francesco_esortazione-ap_20131124_evangelii-gaudium.html,52324,0,33,0
